iter	Passed	Remaining
399	37253	74506
400	37355	74430
401	37443	74327
402	37538	74237
403	37621	74125
404	37703	74009
405	37797	73918
406	37873	73793
407	37958	73684
408	38038	73566
409	38125	73461
410	38237	73403
411	38300	73253
412	38389	73154
413	38477	73051
414	38563	72945
415	38700	72936
416	38806	72867
417	38901	72777
418	38992	72680
419	39078	72574
420	39174	72487
421	39264	72388
422	39300	72189
423	39398	72106
424	39487	72006
425	39583	71918
426	39675	71824
427	39773	71740
428	39860	71637
429	39894	71438
430	39978	71330
431	40075	71246
432	40173	71162
433	40262	71062
434	40348	70957
435	40439	70861
436	40507	70725
437	40594	70623
438	40682	70522
439	40765	70413
440	40846	70300
441	40932	70195
442	41023	70101
443	41113	70004
444	41202	69906
445	41256	69747
446	41340	69640
447	41425	69535
448	41507	69425
449	41582	69303
450	41675	69212
451	41759	69106
452	41836	68988
453	41928	68895
454	42025	68810
455	42120	68722
456	42221	68644
457	42319	68561
458	42411	68468
459	42504	68376
460	42597	68285
461	42694	68201
462	42776	68090
463	42862	67988
464	42957	67899
465	43044	67800
466	43131	67698
467	43218	67598
468	43312	67508
469	43400	67408
470	43495	67320
471	43583	67221
472	43673	67125
473	43761	67026
474	43849	66928
475	43938	66830
476	43975	66654
477	44062	66554
478	44143	66446
479	44238	66357
480	44337	66276
481	44424	66175
482	44504	66065
483	44595	65971
484	44691	65885
485	44787	65798
486	44879	65707
487	44972	65615
488	45067	65526
489	45161	65438
490	45241	65327
491	45324	65223
492	45423	65140
493	45509	65040
494	45595	64939
495	45701	64866
496	45786	64764
497	45870	64660
498	45953	64555
499	46034	64448
500	46125	64354
501	46192	64227
502	46283	64134
503	46367	64031
504	46458	63938
505	46539	63830
506	46622	63726
507	46726	63651
508	46811	63549
509	46899	63452
510	46986	63353
511	47075	63257
512	47170	63169
513	47256	63070
514	47336	62961
515	47420	62859
516	47520	62778
517	47599	62669
518	47692	62579
519	47775	62475
520	47875	62394
521	47985	62325
522	48084	62243
523	48173	62147
524	48274	62066
525	48368	61977
526	48456	61881
527	48532	61768
528	48619	61670
529	48704	61570
530	48799	61481
531	48892	61390
532	48976	61289
533	49070	61200
534	49166	61113
535	49253	61015
536	49339	60915
537	49431	60824
538	49520	60729
539	49613	60638
540	49709	60551
541	49783	60438
542	49870	60341
543	49957	60242
544	50043	60143
545	50131	60048
546	50221	59953
547	50307	59855
548	50400	59764
549	50474	59652
550	50576	59572
551	50678	59491
552	50777	59408
553	50874	59323
554	50983	59251
555	51082	59167
556	51184	59087
557	51293	59015
558	51388	58926
559	51488	58843
560	51600	58774
561	51694	58685
562	51787	58593
563	51883	58507
564	51987	58428
565	52078	58335
566	52164	58236
567	52270	58160
568	52394	58103
569	52492	58017
570	52596	57939
571	52692	57851
572	52781	57755
573	52881	57672
574	52983	57591
575	53093	57517
576	53195	57436
577	53322	57381
578	53443	57319
579	53565	57259
580	53670	57180
581	53773	57100
582	53865	57007
583	53972	56929
584	54081	56854
585	54185	56774
586	54314	56720
587	54402	56623
588	54493	56528
589	54581	56431
590	54689	56355
591	54775	56255
592	54859	56155
593	54951	56061
594	55043	55968
595	55129	55869
596	55229	55784
597	55309	55679
598	55400	55585
599	55493	55493
600	55597	55412
601	55688	55318
602	55787	55232
603	55863	55123
604	55976	55050
605	56097	54986
606	56179	54884
607	56273	54792
608	56366	54700
609	56452	54601
610	56526	54490
611	56615	54395
612	56709	54303
613	56788	54199
614	56879	54104
615	56981	54021
616	57080	53934
617	57186	53855
618	57288	53771
619	57390	53687
620	57488	53600
621	57576	53503
622	57692	53432
623	57774	53330
624	57942	53307
625	58089	53264
626	58174	53164
627	58258	53063
628	58351	52971
629	58491	52920
630	58576	52821
631	58658	52718
632	58746	52621
633	58834	52524
634	58921	52426
635	59008	52328
636	59161	52289
637	59325	52258
638	59435	52180
639	59547	52104
640	59632	52004
641	59729	51914
642	59821	51820
643	59906	51720
644	59990	51620
645	60077	51521
646	60173	51431
647	60266	51338
648	60361	51247
649	60446	51147
650	60562	51073
651	60660	50984
652	60749	50887
653	60841	50793
654	60919	50688
655	61021	50603
656	61123	50517
657	61212	50421
658	61301	50325
659	61397	50234
660	61485	50137
661	61581	50046
662	61685	49962
663	61789	49878
664	61893	49794
665	61986	49700
666	62070	49600
667	62161	49505
668	62252	49410
669	62345	49317
670	62432	49220
671	62527	49128
672	62623	49038
673	62705	48936
674	62789	48836
675	62872	48735
676	62964	48641
677	63070	48558
678	63210	48501
679	63304	48409
680	63388	48309
681	63469	48207
682	63578	48126
683	63680	48039
684	63765	47940
685	63854	47844
686	63941	47746
687	64020	47643
688	64116	47552
689	64206	47457
690	64288	47355
691	64351	47240
692	64445	47148
693	64522	47043
694	64609	46946
695	64709	46858
696	64792	46758
697	64876	46659
698	64958	46558
699	65046	46462
700	65133	46364
701	65214	46263
702	65290	46158
703	65380	46063
704	65457	45959
705	65537	45857
706	65632	45766
707	65725	45673
708	65807	45573
709	65889	45473
710	65977	45376
711	66064	45280
712	66152	45183
713	66239	45087
714	66330	44993
715	66414	44895
716	66481	44784
717	66561	44683
718	66658	44593
719	66747	44498
720	66834	44402
721	66920	44304
722	67011	44210
723	67107	44120
724	67188	44020
725	67278	43925
726	67378	43837
727	67472	43745
728	67561	43650
729	67641	43550
730	67726	43452
731	67814	43356
732	67903	43261
733	67995	43168
734	68081	43072
735	68167	42975
736	68249	42875
737	68330	42775
