iter	RMSE
0	0.1377985086
1	0.1337990468
2	0.1300501989
3	0.1263441359
4	0.1227511544
5	0.1192564352
6	0.1158865477
7	0.1126098858
8	0.1094498471
9	0.1063740621
10	0.1033588019
11	0.1003630474
12	0.09755579693
13	0.09472514533
14	0.09205411827
15	0.08940581492
16	0.08687709681
17	0.08445465425
18	0.08205443381
19	0.07974835445
20	0.07750361495
21	0.07530992392
22	0.07319522398
23	0.07114026468
24	0.06917801607
25	0.06723317802
26	0.0653645773
27	0.06356392669
28	0.06175612479
29	0.06002335547
30	0.05835173316
31	0.05675810624
32	0.05515417531
33	0.05362729634
34	0.05213667752
35	0.0506800804
36	0.04922634125
37	0.04782235586
38	0.04648280105
39	0.04517474114
40	0.04394346785
41	0.04272503152
42	0.04153224898
43	0.04035330057
44	0.03922111246
45	0.03813093119
46	0.03710090729
47	0.03610192787
48	0.03510874801
49	0.03416252741
50	0.03320673978
51	0.0322958041
52	0.03139431322
53	0.03051947847
54	0.02969104981
55	0.02889297826
56	0.02809235981
57	0.02734020111
58	0.02662420026
59	0.02589753656
60	0.02518389476
61	0.02452202319
62	0.02389067702
63	0.0232429139
64	0.02265712854
65	0.02206611824
66	0.02148563434
67	0.02094051472
68	0.02039343784
69	0.01987346309
70	0.01935998162
71	0.01887000524
72	0.01838619458
73	0.01790826946
74	0.0174654333
75	0.01703587817
76	0.01660640068
77	0.01619308211
78	0.01579815098
79	0.01543035475
80	0.01505397292
81	0.01470027405
82	0.01435574525
83	0.01401493047
84	0.01369363045
85	0.01337724492
86	0.01307988154
87	0.01278391366
88	0.01250822863
89	0.01222732333
90	0.01195945917
91	0.01170254913
92	0.01145952531
93	0.01121389663
94	0.01098662418
95	0.01076707304
96	0.01055561651
97	0.01035568987
98	0.01015585996
99	0.009961927364
100	0.009774009663
101	0.009591587756
102	0.009416237291
103	0.009252570502
104	0.00909482394
105	0.008929452363
106	0.008781290921
107	0.008640428066
108	0.008505872182
109	0.008374569622
110	0.008235138764
111	0.008103683284
112	0.007987615908
113	0.007865985311
114	0.007759281396
115	0.007652144354
116	0.007543986685
117	0.007439867637
118	0.007349494169
119	0.007259597399
120	0.00716948629
121	0.007078116415
122	0.00699294506
123	0.006911322094
124	0.006834962541
125	0.006760073144
126	0.006696667489
127	0.006626594956
128	0.006567130934
129	0.006503956678
130	0.006451199877
131	0.006392123029
132	0.006336917404
133	0.006284923026
134	0.006231205071
135	0.006188871136
136	0.006148317605
137	0.006109476622
138	0.006067144102
139	0.006026395434
140	0.005985294168
141	0.005949004655
142	0.005912349389
143	0.005880693564
144	0.005849915473
145	0.005820034208
146	0.005794841123
147	0.005770498151
148	0.005740504242
149	0.00571395681
150	0.005694310207
151	0.005674877153
152	0.005649460744
153	0.005626276563
154	0.005609543909
155	0.005592715961
156	0.005571399861
157	0.005551492094
158	0.005536918872
159	0.005520536302
160	0.005501699456
161	0.005484056916
162	0.005472288638
163	0.005455953281
164	0.005440660399
165	0.005429757279
166	0.00541541174
167	0.005403812632
168	0.005394522053
169	0.005381681784
170	0.00536978638
171	0.005358300298
172	0.005351410062
173	0.005340458573
174	0.005332448764
175	0.005322143823
176	0.005315242894
177	0.005306555939
178	0.005295246981
179	0.005287127464
180	0.005279814493
181	0.005271630107
182	0.005265219188
183	0.005258194001
184	0.005247945028
185	0.005240130611
186	0.005232436534
187	0.005224228911
188	0.00521914819
189	0.005213071697
190	0.005206535526
191	0.005200285894
192	0.005195459322
193	0.005190316129
194	0.005181710328
195	0.005176932436
196	0.00517157109
197	0.005167591289
198	0.005157555054
199	0.005146779969
200	0.005143122964
201	0.005135441836
202	0.005130712069
203	0.00512619481
204	0.005123181897
205	0.005116581706
206	0.005109893612
207	0.005106191511
208	0.005098517925
209	0.005095996609
210	0.005092603836
211	0.005085957118
